relationship_id,start_id,end_id,relationship_type,predicate_zh,start_name,end_name,source
relgen_12b62958115df7e7337f,entity_CP_CC_068,category_CC,BELONGS_TO,属于,民国粉彩柳蝉纹梅瓶,彩瓷,广东民间工艺博物馆官网
relgen_39c99d4d92f03e8628d5,entity_CP_CC_069,category_CC,BELONGS_TO,属于,民国珊瑚红五彩花卉觚形瓶,彩瓷,广东民间工艺博物馆官网
relgen_fb946a39883815d5eb70,entity_CP_CC_070,category_CC,BELONGS_TO,属于,民国粉彩蓝地蓝地缠枝花开窗彩牡丹纹双环耳瓷瓶,彩瓷,广东民间工艺博物馆官网
relgen_635d96805ea4f4bcb725,entity_CP_CC_071,category_CC,BELONGS_TO,属于,清康熙景德镇窑珊瑚红地五彩九秋花卉纹瓷碗,彩瓷,广东民间工艺博物馆官网
relgen_e413a9449b26a83460f3,entity_CP_CC_072,category_CC,BELONGS_TO,属于,清珊瑚红描金龙凤纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_dffc8513626d78d9c0ea,entity_CP_CC_073,category_CC,BELONGS_TO,属于,民国堆蓝边粉彩菊纹双螭耳瓷瓶,彩瓷,广东民间工艺博物馆官网
relgen_9d26556d85d3ef97be7f,entity_CP_CC_074,category_CC,BELONGS_TO,属于,民国白地锦边五彩儿童玩乐图瓷罐,彩瓷,广东民间工艺博物馆官网
relgen_492e357283bf356bfca3,entity_CP_CC_075,category_CC,BELONGS_TO,属于,民国粉彩花鸟纹瓷琮式瓶,彩瓷,广东民间工艺博物馆官网
relgen_b7574b8cd860a89cb918,entity_CP_CC_076,category_CC,BELONGS_TO,属于,民国粉彩三酸图瓷梅瓶,彩瓷,广东民间工艺博物馆官网
relgen_c87efd20db2b99116427,entity_CP_CC_077,category_CC,BELONGS_TO,属于,民国堆蓝团龙纹胆瓶,彩瓷,广东民间工艺博物馆官网
relgen_b024024269a1a052de71,entity_CP_CZCX_001,category_CZCX,BELONGS_TO,属于,《三羊开泰图》挂屏,潮州刺绣,广东民间工艺博物馆官网
relgen_aca7c299cc48381fe722,entity_CP_CZCX_002,category_CZCX,BELONGS_TO,属于,《岁朝清供》挂屏,潮州刺绣,广东民间工艺博物馆官网
relgen_ed56b5fd3c0e7a5b6d3f,entity_CP_CZCX_003,category_CZCX,BELONGS_TO,属于,《钉金九龙图》圆屏,潮州刺绣,广东民间工艺博物馆官网
relgen_1a8647e3aaa1edc4c5cb,entity_CP_CZCX_004,category_CZCX,BELONGS_TO,属于,《双狮图》挂屏,潮州刺绣,广东民间工艺博物馆官网
relgen_73b3fbaf8e3c4998d784,entity_CP_CZCX_005,category_CZCX,BELONGS_TO,属于,《潮汕情》挂屏,潮州刺绣,广东民间工艺博物馆官网
relgen_d26f5e3e1b4749bc59bc,entity_CP_CZCX_006,category_CZCX,BELONGS_TO,属于,潮州通锦绣《双清图》,潮州刺绣,广东民间工艺博物馆官网
relgen_d6c5909ca83f8b497a5c,entity_CP_CZCX_007,category_CZCX,BELONGS_TO,属于,潮州绣《红棉双鹅》,潮州刺绣,广东民间工艺博物馆官网
relgen_22073721e3d773637cdf,entity_CP_CZCX_008,category_CZCX,BELONGS_TO,属于,金线绣九龙座屏,潮州刺绣,广东民间工艺博物馆官网
relgen_0fc0843af8aaf49fada4,entity_CP_CZCX_009,category_CZCX,BELONGS_TO,属于,潮州钉金绣《九龙图》圆屏,潮州刺绣,广东民间工艺博物馆官网
relgen_4515824de0d18db0c03b,entity_CP_QI_001,category_QI,BELONGS_TO,属于,《新八宝》花瓶,漆,广东民间工艺博物馆官网
relgen_58567bd8a4cf7999ee47,entity_CP_QI_002,category_QI,BELONGS_TO,属于,《潮州八景》挂屏,漆,广东民间工艺博物馆官网
relgen_1040641a3bb6cf3165a5,entity_CP_QI_003,category_QI,BELONGS_TO,属于,《汕头市韩堤路气象台》挂屏,漆,广东民间工艺博物馆官网
